Stage of Escalation,Priority,APT,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Frequent changes in processor,Number of Processors,Customer call back request,Business Impact mentioned?,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
5.two_days_b4_escalation,High,4.21,0,2,2,1,1,No,Yes,No,Yes,50,No
6.message_escalated,High,6.21,0,4,3,2,2,No,Yes,No,Yes,50,No
1.message_created,High,0,0,0,0,1,1,No,Yes,No,Yes,,No
2.two_days_b4_BI,High,0.16,0,0,0,1,1,No,Yes,No,Yes,,No
3.BI_is_communicated,High,0.16,0,0,0,1,1,No,Yes,No,Yes,,No
4.Seven_days_b4_escalation,High,4.5,0,1,2,1,1,No,Yes,No,Yes,,No
5.two_days_b4_escalation,High,4.5,2,1,2,2,1,No,Yes,No,Yes,,No
6.message_escalated,High,7.08,5,1,2,2,2,Yes,Yes,No,Yes,,No
1.message_created,High,0,0,0,1,1,1,No,Yes,Yes,Yes,500,No
2.two_days_b4_BI,High,0.45,0,0,1,1,1,No,Yes,Yes,Yes,500,No
3.BI_is_communicated,High,0.45,0,0,1,1,1,No,Yes,Yes,Yes,500,No
4.Seven_days_b4_escalation,High,0.45,0,0,1,1,1,No,Yes,Yes,Yes,500,No
5.two_days_b4_escalation,High,4.45,1,2,3,1,1,No,Yes,Yes,Yes,500,No
6.message_escalated,High,5.33,4,1,3,2,2,No,Yes,Yes,Yes,500,No
1.message_created,High,0,0,0,2,1,1,No,Yes,No,No,1000,No
2.two_days_b4_BI,High,0,0,0,2,1,1,No,Yes,No,No,1000,No
3.BI_is_communicated,High,0,0,0,2,1,1,No,Yes,No,No,1000,No
4.Seven_days_b4_escalation,High,1.08,0,0,2,1,1,No,Yes,No,No,1000,No
5.two_days_b4_escalation,High,3.91,1,1,2,1,1,No,Yes,No,No,1000,No
6.message_escalated,High,5.91,2,3,2,1,1,No,Yes,No,No,1000,No
1.message_created,High,0,0,3,0,0,0,No,Yes,No,Yes,,No
2.two_days_b4_BI,High,4.87,0,3,1,0,0,No,Yes,No,Yes,,No
3.BI_is_communicated,High,4.87,0,3,1,0,0,No,Yes,No,Yes,,No
4.Seven_days_b4_escalation,High,4.87,0,1,1,2,1,No,Yes,No,Yes,,No
5.two_days_b4_escalation,High,9.29,0,4,1,2,2,No,Yes,No,Yes,,No
6.message_escalated,High,10.29,0,1,1,2,2,No,Yes,No,Yes,,No
1.message_created,Low,0,0,0,1,0,1,No,Yes,No,Yes,,No
2.two_days_b4_BI,Low,33.91,0,7,1,4,1,No,Yes,No,Yes,,No
3.BI_is_communicated,Low,35.91,0,2,1,4,3,No,Yes,No,Yes,,No
4.Seven_days_b4_escalation,Low,25.62,0,1,1,4,3,No,Yes,No,Yes,,No
5.two_days_b4_escalation,Low,30.62,0,4,1,4,3,No,Yes,No,Yes,,No
6.message_escalated,High,33.375,0,3,1,4,3,No,Yes,No,Yes,,No
1.message_created,High,0,0,0,1,0,1,No,Yes,No,Yes,,No
2.two_days_b4_BI,High,0,0,0,1,0,1,No,Yes,No,Yes,,No
3.BI_is_communicated,High,0,0,0,1,0,1,No,Yes,No,Yes,,No
4.Seven_days_b4_escalation,High,3.96,0,1,1,1,1,No,Yes,No,Yes,,No
5.two_days_b4_escalation,High,8.96,0,3,1,1,1,No,Yes,No,Yes,,No
6.message_escalated,High,10.96,0,5,1,2,2,No,Yes,No,Yes,,No
1.message_created,Low,0,0,0,0,1,1,No,Yes,No,Yes,300,No
2.two_days_b4_BI,Low,15,0,15,0,1,1,No,Yes,No,Yes,300,No
3.BI_is_communicated,Medium,17,1,17,0,1,1,No,Yes,No,Yes,300,No
